"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJBALL030266_D1",484.112161943392,952.115302357006,1313.12568783404,2480.82938777862,145.92789932432,182.437244894273,182.428657995802,3980.25070021946,222.757563341456,352.219548168337
"SJBALL030267_D1",152.660990578697,165.357911278381,60.7998497661527,2902.98819571395,26.7288515631894,264.857503868224,103.935984427922,1516.96116280039,589.173503789565,65.1032317013378
"SJBALL030270_D1",306.380905729745,400.255873202698,246.001912291609,2021.19070064366,41.3287017363527,1687.93402258416,111.5415210652,3178.93969154758,140.393932710832,328.632139238431
"SJBALL030268_D1",75.863897465997,24.3982298062717,44.6854025755892,2533.66232603591,4.61376781592958,610.447284585125,20.6967889595938,187.094801557154,122.812243303685,166.056541646211
"SJBALL030271_D1",190.492078253963,314.071124178804,194.181004997988,3544.4153159432,56.1344494989238,449.844122396395,30.6129684660417,1144.84816798946,182.685130856452,169.428050370111
"SJBALL030275_D1",793.236890447259,877.754715644356,480.567475023254,4484.14017017925,89.9811696256554,131.016848940435,18.0980353741104,1454.90106372474,150.029885433348,218.986228026736
"SJBALL030276_D1",77.2678380078679,82.651770106402,99.1010046150371,2451.40663525506,18.2180905482623,982.537563718525,37.172265563121,926.604157536378,222.65897896269,91.6030829948338
"SJBALL030282_D1",76.556038771552,105.115804530887,114.182396835438,5478.14210656883,14.9988353163177,218.731539347291,41.4843819768125,1520.27864213351,122.004988926328,199.323365195362
"SJBALL030285_D1",89.7436686158581,55.5182811670156,87.6162454047523,5980.08089731144,73.9699452019354,55.79820527374,37.4476249440262,264.092843355255,200.559790715844,30.2084765173466
"SJBALL030288_D1",130.229731810059,78.6963291639736,107.346144850397,4973.52338345435,197.692794633692,73.4378186898831,99.8512563585902,2022.15718067901,177.582391969309,59.498232734859
"SJBALL030290_D1",162.815486826504,157.907549477868,81.6973422009046,2582.12037175483,16.6709828418357,260.029227228998,56.0145023485679,893.457986032206,427.810761687188,40.1437266831404
"SJBALL030294_D1",71.699634017173,131.261141015691,177.636044907563,3351.47173792871,21.1711517767243,200.823496853499,9.879870829138,191.669494085277,93.5059203471989,76.2161463962075
"SJBALL030295_D1",72.5066816138472,54.7591127602642,78.2273039432345,7105.86072986313,281.693512757129,188.828676749131,24.7118047328372,594.599719787607,49.520139952912,43.701984222134
"SJBALL030301_D1",155.461382731027,186.249578333016,196.838111212007,3676.6342498369,21.1431281526,618.478920470277,9.18577852322697,456.754918292873,119.137963691336,299.567242701445
"SJBALL030311_D1",21.9191918776997,8.50313478014212,18.6259142803113,3411.64663234369,5.31445923758883,468.887146447836,14.1718913002369,302.52263962239,267.140151009465,129.672805397167
"SJBALL030313_D1",120.519356964724,67.2767118710646,107.890763737929,1783.6768376712,13.021299071819,112.851258622431,16.6383265917687,899.77176586269,86.605202680796,31.4681394235625
"SJDSRCT030041_D1",25.8088831365072,266.293967622343,145.135007563678,52.9604249332952,50.3496997605272,609.630967894129,57.0629930619308,405.333731109191,728.672043756517,26709.9562818512
"SJBALL030318_D1",182.258179823594,215.448966564632,118.122599429257,2624.53072933762,16.7409669965761,464.171904799476,27.6589889508649,698.559306906405,192.157186395482,68.0556701817331
"SJDSRCT030041_D3",38.7879323712549,467.273372784961,110.130022268384,291.111513265511,25.9091267011116,630.390481239077,115.757735670464,503.637059383013,775.398798443138,37511.6427293436
"SJDSRCT030041_D2",31.3644733874779,206.317798362812,106.284926429327,49.3217632449819,22.8590742504251,555.316411827179,41.1593587642983,472.446918069186,686.260669270243,27860.7178470994
